ModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease
ACH-000001,905933.0,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000002,905938.0,HL-60,Myeloid,Acute Myeloid Leukemia
ACH-000004,907053.0,HEL,Myeloid,Acute Myeloid Leukemia
ACH-000006,908148.0,MONO-MAC-6,Myeloid,Acute Myeloid Leukemia
ACH-000007,907795.0,LS513,Bowel,Colorectal Adenocarcinoma
ACH-000008,910921.0,A101D,Skin,Melanoma
ACH-000009,910700.0,C2BBe1,Bowel,Colorectal Adenocarcinoma
ACH-000012,1240146.0,HCC-827,Lung,Non-Small Cell Lung Cancer
ACH-000015,908471.0,NCI-H1581,Lung,Non-Small Cell Lung Cancer
ACH-000018,724812.0,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000019,905946.0,MCF7,Breast,Invasive Breast Carcinoma
ACH-000020,908132.0,MHH-CALL-2,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000021,687802.0,NCI-H1693,Lung,Non-Small Cell Lung Cancer
ACH-000023,1240201.0,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma
ACH-000024,909249.0,OPM-2,Lymphoid,Mature B-Cell Neoplasms
ACH-000030,753608.0,PC-14,Lung,Non-Small Cell Lung Cancer
ACH-000035,687800.0,NCI-H1650,Lung,Non-Small Cell Lung Cancer
ACH-000040,687588.0,U-118 MG,CNS/Brain,Diffuse Glioma
ACH-000042,1298475.0,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma
ACH-000045,908156.0,MV4-11,Myeloid,Acute Myeloid Leukemia
ACH-000046,905950.0,ACHN,Kidney,Renal Cell Carcinoma
ACH-000047,906869.0,GCIY,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000048,1299070.0,TOV-112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000050,724825.0,NCI-H929,Lymphoid,Mature B-Cell Neoplasms
ACH-000052,684052.0,A-673,Bone,Ewing Sarcoma
ACH-000053,907273.0,KARPAS-299,Lymphoid,Mature T and NK Neoplasms
ACH-000054,907064.0,HT-1080,Soft Tissue,Fibrosarcoma
ACH-000055,906834.0,D283 Med,CNS/Brain,Embryonal Tumor
ACH-000056,906842.0,DOHH-2,Lymphoid,Mature B-Cell Neoplasms
ACH-000058,1240178.0,ML-1,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000059,1247871.0,SUP-B15,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000060,925348.0,Panc 10.05,Pancreas,Pancreatic Adenocarcinoma
ACH-000061,907056.0,HH,Lymphoid,Non-Hodgkin Lymphoma
ACH-000062,910931.0,RERF-LC-MS,Lung,Non-Small Cell Lung Cancer
ACH-000065,1330983.0,OCI-AML5,Myeloid,Acute Myeloid Leukemia
ACH-000067,1240150.0,Hs 683,CNS/Brain,Diffuse Glioma
ACH-000070,906800.0,697,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000072,908126.0,MEG-01,Myeloid,Myeloproliferative Neoplasms
ACH-000073,1303897.0,GRANTA-519,Lymphoid,Mature B-Cell Neoplasms
ACH-000074,907311.0,KU812,Myeloid,Myeloproliferative Neoplasms
ACH-000075,687590.0,U-87 MG,CNS/Brain,Diffuse Glioma
ACH-000078,908135.0,MHH-NB-11,Peripheral Nervous System,Neuroblastoma
ACH-000081,906870.0,GDM-1,Myeloid,Acute Myeloid Leukemia
ACH-000082,1290807.0,"G-292, clone A141B1",Bone,Osteosarcoma
ACH-000087,684072.0,SK-ES-1,Bone,Ewing Sarcoma
ACH-000090,905934.0,PC-3,Prostate,Prostate Adenocarcinoma
ACH-000091,1480362.0,OV56,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000092,908462.0,NCI-H2452,Pleura,Pleural Mesothelioma
ACH-000094,724869.0,HPAF-II,Pancreas,Pancreatic Adenocarcinoma
ACH-000096,907299.0,G-401,Kidney,Rhabdoid Cancer
ACH-000098,906868.0,GAMG,CNS/Brain,Diffuse Glioma
ACH-000099,753620.0,SIMA,Peripheral Nervous System,Neuroblastoma
ACH-000100,1240210.0,RH-41,Soft Tissue,Rhabdomyosarcoma
ACH-000101,907277.0,KE-37,Lymphoid,Mature T and NK Neoplasms
ACH-000103,949090.0,Caov-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000104,907789.0,Loucy,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000105,1295740.0,ALL-SIL,Lymphoid,Mature T and NK Neoplasms
ACH-000106,907269.0,JVM-2,Lymphoid,Mature B-Cell Neoplasms
ACH-000107,910915.0,Capan-2,Pancreas,Pancreatic Adenocarcinoma
ACH-000108,1298219.0,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000111,749711.0,HCC1187,Breast,Invasive Breast Carcinoma
ACH-000112,909715.0,SIG-M5,Myeloid,Acute Myeloid Leukemia
ACH-000113,910947.0,OCI-AML2,Myeloid,Acute Myeloid Leukemia
ACH-000114,1240218.0,SU.86.86,Pancreas,Pancreatic Adenocarcinoma
ACH-000115,1299075.0,VCaP,Prostate,Prostate Adenocarcinoma
ACH-000116,946360.0,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000117,1290798.0,EFM-192A,Breast,Invasive Breast Carcinoma
ACH-000118,907285.0,HUP-T3,Pancreas,Pancreatic Adenocarcinoma
ACH-000120,906820.0,CHP-212,Peripheral Nervous System,Neuroblastoma
ACH-000121,687821.0,NCI-H2405,Lung,Non-Small Cell Lung Cancer
