split,baseline,seed,scheme,n_rows,n_drugs,n_cells,n_scaffolds,delta,se,lo,hi,p,significant
random,drpreter,0,rows,15046,123,696,113,0.0034131338525856814,0.0006679151441377466,0.0021927867334700867,0.004769071035336683,0.001,True
random,drpreter,0,drug,15046,123,696,113,0.0034131338525856814,0.0011475753381279463,0.0016618985470155973,0.006150667032245069,0.001,True
random,drpreter,0,cell,15046,123,696,113,0.0034131338525856814,0.000692834085165744,0.002056295645674494,0.004803528106047849,0.001,True
random,drpreter,0,scaffold,15046,123,696,113,0.0034131338525856814,0.00126486765223502,0.0014705839929291392,0.006359554471957258,0.001,True
random,drpreter,0,twoway,15046,123,696,113,0.0034131338525856814,0.0011622553878035484,0.0011351132924907266,0.0056911544126806365,0.0033178148173724476,True
random,drpreter,1,rows,15046,126,696,116,0.00557951159001413,0.0008389885431110283,0.003938886883927748,0.007265911655432286,0.001,True
random,drpreter,1,drug,15046,126,696,116,0.00557951159001413,0.0017928101032880213,0.002834765027984032,0.00982119379639148,0.001,True
random,drpreter,1,cell,15046,126,696,116,0.00557951159001413,0.0009580280799841846,0.0037537338278200356,0.007465307424609634,0.001,True
random,drpreter,1,scaffold,15046,126,696,116,0.00557951159001413,0.00197020163948296,0.0026271625960343297,0.010134037913633232,0.001,True
random,drpreter,1,twoway,15046,126,696,116,0.00557951159001413,0.001851508599228808,0.0019505547355256666,0.009208468444502594,0.0025825744212367337,True
random,drpreter,2,rows,15046,125,696,115,0.0033704148851282367,0.0008658762651114429,0.0016948748081556358,0.00501758786996184,0.001,True
random,drpreter,2,drug,15046,125,696,115,0.0033704148851282367,0.0014153476422932233,0.0009769920924531579,0.006706509490128004,0.003,True
random,drpreter,2,cell,15046,125,696,115,0.0033704148851282367,0.0009243321877180747,0.0015487083366854753,0.005135043306017015,0.001,True
random,drpreter,2,scaffold,15046,125,696,115,0.0033704148851282367,0.0015274476047810732,0.0008842736479137747,0.00704027103077776,0.006,True
random,drpreter,2,twoway,15046,125,696,115,0.0033704148851282367,0.0014518461472598694,0.0005247964364988927,0.006216033333757581,0.020261580161236442,True
random,drpreter,3,rows,15046,125,696,115,0.006346961851059207,0.0007676294511623551,0.004889251392547459,0.007926337345955242,0.001,True
random,drpreter,3,drug,15046,125,696,115,0.006346961851059207,0.001616777780860964,0.003969503347412659,0.010148725871681885,0.001,True
random,drpreter,3,cell,15046,125,696,115,0.006346961851059207,0.0007960164727766482,0.004802099907714408,0.007897522237877737,0.001,True
random,drpreter,3,scaffold,15046,125,696,115,0.006346961851059207,0.0018571374377359927,0.0035685845062677526,0.010857481043639658,0.001,True
random,drpreter,3,twoway,15046,125,696,115,0.006346961851059207,0.0016304470685445944,0.0031512855967118026,0.009542638105406613,9.910449456387995e-05,True
random,drpreter,4,rows,15046,126,696,116,0.005039652989864862,0.0008375237431347551,0.0034381095927779964,0.006646700115399638,0.001,True
random,drpreter,4,drug,15046,126,696,116,0.005039652989864862,0.0017893769562530232,0.002112546320141595,0.009034180581541231,0.001,True
random,drpreter,4,cell,15046,126,696,116,0.005039652989864862,0.0009599253013522318,0.003135518786501837,0.006857720793379065,0.001,True
random,drpreter,4,scaffold,15046,126,696,116,0.005039652989864862,0.002034124601787907,0.0017580556176953976,0.009798472313667119,0.001,True
random,drpreter,4,twoway,15046,126,696,116,0.005039652989864862,0.001849832547943477,0.0014139811958956473,0.008665324783834078,0.006442168341447088,True
random,graphdrp,0,rows,15046,123,696,113,-0.006446990432503075,0.0007124806413003615,-0.007856346303140069,-0.005073779925155623,0.001,True
random,graphdrp,0,drug,15046,123,696,113,-0.006446990432503075,0.0015620287870671285,-0.009924113411586064,-0.0040386566286283775,0.001,True
random,graphdrp,0,cell,15046,123,696,113,-0.006446990432503075,0.0007950175553629107,-0.0080427820499858,-0.005006667424161202,0.001,True
random,graphdrp,0,scaffold,15046,123,696,113,-0.006446990432503075,0.0016644994069046721,-0.010588931889867217,-0.00393391897964135,0.001,True
random,graphdrp,0,twoway,15046,123,696,113,-0.006446990432503075,0.0016013613523292764,-0.009585658683068456,-0.003308322181937693,5.6747298803573055e-05,True
random,graphdrp,1,rows,15046,126,696,116,-0.00612417241331531,0.0007946234394954964,-0.007688813915070541,-0.004588891652855238,0.001,True
