split,baseline,seed,scheme,n_rows,n_drugs,n_cells,n_scaffolds,delta,se,lo,hi,p,significant
random,drpreter,0,rows,15046,123,696,113,0.0034131338525856814,0.0006679151441377466,0.0021927867334700867,0.004769071035336683,0.001,True
random,drpreter,0,drug,15046,123,696,113,0.0034131338525856814,0.0011475753381279463,0.0016618985470155973,0.006150667032245069,0.001,True
random,drpreter,0,cell,15046,123,696,113,0.0034131338525856814,0.000692834085165744,0.002056295645674494,0.004803528106047849,0.001,True
random,drpreter,0,scaffold,15046,123,696,113,0.0034131338525856814,0.00126486765223502,0.0014705839929291392,0.006359554471957258,0.001,True
random,drpreter,0,twoway,15046,123,696,113,0.0034131338525856814,0.0011622553878035484,0.0011351132924907266,0.0056911544126806365,0.0033178148173724476,True
random,graphdrp,0,rows,15046,123,696,113,-0.006446990432503075,0.0007124806413003615,-0.007856346303140069,-0.005073779925155623,0.001,True
random,graphdrp,0,drug,15046,123,696,113,-0.006446990432503075,0.0015620287870671285,-0.009924113411586064,-0.0040386566286283775,0.001,True
random,graphdrp,0,cell,15046,123,696,113,-0.006446990432503075,0.0007950175553629107,-0.0080427820499858,-0.005006667424161202,0.001,True
random,graphdrp,0,scaffold,15046,123,696,113,-0.006446990432503075,0.0016644994069046721,-0.010588931889867217,-0.00393391897964135,0.001,True
random,graphdrp,0,twoway,15046,123,696,113,-0.006446990432503075,0.0016013613523292764,-0.009585658683068456,-0.003308322181937693,5.6747298803573055e-05,True
random,cdrscan,0,rows,15046,123,696,113,-0.0031127960934513865,0.0006249846088355528,-0.004332572985782915,-0.0018926430852692023,0.001,True
random,cdrscan,0,drug,15046,123,696,113,-0.0031127960934513865,0.0008519867855104739,-0.004851647310278951,-0.0015888837704951559,0.001,True
random,cdrscan,0,cell,15046,123,696,113,-0.0031127960934513865,0.000609680407259579,-0.004356917413420478,-0.001963872292903716,0.001,True
random,cdrscan,0,scaffold,15046,123,696,113,-0.0031127960934513865,0.0008671354329176338,-0.0050425591506900345,-0.0015886743683862878,0.001,True
random,cdrscan,0,twoway,15046,123,696,113,-0.0031127960934513865,0.0008408245479286076,-0.004760812207391458,-0.0014647799795113156,0.00021384282324493818,True
cell_blind,drpreter,0,rows,15052,247,139,222,-0.007056701123747011,0.001449831240236676,-0.010042774097544116,-0.004383468662334578,0.001,True
cell_blind,drpreter,0,drug,15052,247,139,222,-0.007056701123747011,0.0022399869822980313,-0.011867816377130882,-0.0029788054386353157,0.001,True
cell_blind,drpreter,0,cell,15052,247,139,222,-0.007056701123747011,0.0045713633891688865,-0.016645099304576673,0.0016755603351236166,0.122,False
cell_blind,drpreter,0,scaffold,15052,247,139,222,-0.007056701123747011,0.002442297940505758,-0.012185643111084735,-0.002533015015728371,0.001,True
cell_blind,drpreter,0,twoway,15052,247,139,222,-0.007056701123747011,0.00487984572415277,-0.01662119874308644,0.0025077964955924174,0.14815167164152632,False
cell_blind,graphdrp,0,rows,15052,247,139,222,-0.0215802221381588,0.0015939516118258883,-0.02463396544316626,-0.0183996730615831,0.001,True
cell_blind,graphdrp,0,drug,15052,247,139,222,-0.0215802221381588,0.0035537825261398675,-0.029629351589115966,-0.01581802392601789,0.001,True
cell_blind,graphdrp,0,cell,15052,247,139,222,-0.0215802221381588,0.005049807159307157,-0.03176175035818432,-0.012028380343537435,0.001,True
cell_blind,graphdrp,0,scaffold,15052,247,139,222,-0.0215802221381588,0.0038221885713757967,-0.02984892455213497,-0.015297059023387485,0.001,True
cell_blind,graphdrp,0,twoway,15052,247,139,222,-0.0215802221381588,0.005965671868988817,-0.03327293900137688,-0.009887505274940719,0.00029757710352727084,True
cell_blind,cdrscan,0,rows,15052,247,139,222,-0.027176439845512212,0.0017647802016344401,-0.030617756500832,-0.023686891522229463,0.001,True
cell_blind,cdrscan,0,drug,15052,247,139,222,-0.027176439845512212,0.004395206639671327,-0.03715965274725512,-0.019953212531413644,0.001,True
cell_blind,cdrscan,0,cell,15052,247,139,222,-0.027176439845512212,0.005676365819482924,-0.03885324311805682,-0.016776937914401387,0.001,True
cell_blind,cdrscan,0,scaffold,15052,247,139,222,-0.027176439845512212,0.0046566725575393686,-0.03768470605045239,-0.019655849775785068,0.001,True
