split,seed,n_test_cells,n_unseen_test_cells,pct_unseen,n_train_cells,mean_abs_delta_z,p99_abs_delta_z,max_abs_delta_z,mean_shift_per_gene,std_ratio_med
random,0,696,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
random,1,696,0,0.0,697,9.638660003474797e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
random,2,696,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
random,3,696,0,0.0,697,9.638660003474797e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
random,4,696,0,0.0,697,9.638660003474797e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
cell_blind,0,139,139,100.0,558,0.021745122969150543,0.12342633724212548,383.72552490234375,0.012962866574525833,0.9961621761322021
cell_blind,1,139,139,100.0,558,0.021745122969150543,0.12342633724212548,383.72552490234375,0.012962866574525833,0.9961621761322021
cell_blind,2,139,139,100.0,558,0.021745122969150543,0.12342633724212548,383.72552490234375,0.012962866574525833,0.9961621761322021
cell_blind,3,139,139,100.0,558,0.021745122969150543,0.12342633724212548,383.72552490234375,0.012962866574525833,0.9961621761322021
cell_blind,4,139,139,100.0,558,0.021745122969150543,0.12342633724212548,383.72552490234375,0.012962866574525833,0.9961621761322021
drug_blind,0,697,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
drug_blind,1,696,0,0.0,697,9.638660003474797e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
drug_blind,2,697,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
drug_blind,3,697,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
drug_blind,4,697,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
scaffold_blind,0,697,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
scaffold_blind,1,697,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
scaffold_blind,2,696,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
scaffold_blind,3,697,0,0.0,697,9.638678477585927e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
scaffold_blind,4,695,0,0.0,697,9.638679188128663e-08,1.3709068298339844e-06,3.0994415283203125e-06,7.701536475224202e-08,1.0
tissue_blind,0,56,56,100.0,641,0.020414656028151512,0.1047781002521512,139.30116271972656,0.01863359659910202,0.9860906004905701
tissue_blind,1,56,56,100.0,641,0.020414656028151512,0.1047781002521512,139.30116271972656,0.01863359659910202,0.9860906004905701
tissue_blind,2,56,56,100.0,641,0.020414656028151512,0.1047781002521512,139.30116271972656,0.01863359659910202,0.9860906004905701
tissue_blind,3,56,56,100.0,641,0.020414656028151512,0.1047781002521512,139.30116271972656,0.01863359659910202,0.9860906004905701
tissue_blind,4,56,56,100.0,641,0.020414656028151512,0.1047781002521512,139.30116271972656,0.01863359659910202,0.9860906004905701
