model,split,n_seeds,PCC_mean,PCC_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MSE_mean,MSE_std,Spearman_mean,Spearman_std,R2_mean,R2_std,Per-drug PCC_mean,Per-drug PCC_std,Per-cell PCC_mean,Per-cell PCC_std,ECE_mean,ECE_std
cdrscan,cell_blind,5,0.8903936505317688,0.0011905679829565133,1.3017026644225753,0.019586108990638777,0.9843918204307556,0.01154447372485889,1.6948134422302246,0.051391824060821434,0.8428493323038428,0.002293517732963507,0.7875011086463928,0.005830615588624306,0.4707013666629791,0.007198040023135452,0.9073177695274353,0.0018779751111639637,,
drpreter,cell_blind,5,0.8638075113296508,0.00536515295324453,1.4575185554071726,0.03443553517714449,1.1064056396484374,0.03391000445425401,2.1255461454391478,0.09987373393095814,0.8109966689617801,0.006260191657646547,0.7334734082221985,0.012536985897163925,0.3346004068851471,0.02749417053504125,0.8888424754142761,0.003540555150283284,,
graphdrp,cell_blind,5,0.8842236757278442,0.0012368457494786316,1.3317229581726282,0.018670739223541583,1.007259476184845,0.020459310238228404,1.7738346338272093,0.04985644980868578,0.834538218143904,0.0016137638647736813,0.7775702118873596,0.006438544120531339,0.44034170508384707,0.00936196378131602,0.9020907521247864,0.002162995350363157,,
pathxdrp,cell_blind,5,0.8638081550598145,0.002067663911057416,1.4352180920942827,0.011256225366425177,1.0775303840637207,0.010263178538314835,2.059977674484253,0.03221623359236952,0.8091811685852688,0.003038548013307683,0.7417029619216919,0.0035172700460553872,0.3162545084953308,0.019446080279850286,0.8903404355049134,0.002792263332041973,0.18664004319990185,0.10975221968602128
cdrscan,drug_blind,5,0.6341579556465149,0.002116256431186368,2.4161432560809515,0.014524471690505945,1.8047917366027832,0.013078726284025096,5.83795919418335,0.07046833644983957,0.5454051601002214,0.005351882667704741,0.38312755823135375,0.006867495517727412,0.6710929870605469,0.004684198613632004,0.5757975697517395,0.005524877238394944,,
drpreter,drug_blind,5,0.5767357587814331,0.03814104063269888,2.599241409322242,0.10869155749405209,2.0519140005111693,0.07280045412128244,6.767869758605958,0.5590846801800079,0.4771654497191671,0.0321904290677687,0.28481407165527345,0.05950050637056414,0.4954687774181366,0.08851752922737806,0.5517110228538513,0.03307957608433081,,
graphdrp,drug_blind,5,0.5379248857498169,0.03225129063940965,2.6896702693358523,0.10245027225312371,1.9739571332931518,0.07846518403834647,7.244822216033936,0.5599943740291632,0.4852935212537742,0.03147094863687397,0.23437541723251343,0.06022248759385289,0.6437169671058655,0.013444933429159436,0.4744550883769989,0.04100992145458795,,
pathxdrp,drug_blind,5,0.512889313697815,0.06307302081976815,2.7242755271502905,0.19994044141169337,2.012984609603882,0.057588364155298215,7.461653327941895,1.1083575806472763,0.44453577291596263,0.03319266259409677,0.21186954975128175,0.11503239485464427,0.6233722329139709,0.010903288504115878,0.4498931229114532,0.06011759547596736,1.4882352458448915,0.22093436206649855
cdrscan,random,5,0.933056378364563,0.000665429757290787,0.9960661301338097,0.008000723076764731,0.7451801300048828,0.006591349210441213,0.9922117471694946,0.015992982279421978,0.8960989301962239,0.0015637636168748445,0.8694624185562134,0.001729792217394889,0.7366164207458497,0.0027323330364572057,0.9126073718070984,0.0019562727188787666,,
drpreter,random,5,0.9254433870315552,0.0015488099000863273,1.0499299995914728,0.009392096304160397,0.7803574204444885,0.006396638054419873,1.1024412155151369,0.01982890495152901,0.8845154588371251,0.002467597191469551,0.8549459457397461,0.0030267593729427023,0.705638313293457,0.004603524361481677,0.9027545690536499,0.0016654417207422668,,
