model,split,seed,per_drug_pcc
pathxdrp,random,0,0.7264857639937976
pathxdrp,random,1,0.7224731752644321
pathxdrp,random,2,0.7344850846950531
pathxdrp,random,3,0.7365378939475383
pathxdrp,random,4,0.7306487337528339
pathxdrp,cell_blind,0,0.307520942478793
pathxdrp,cell_blind,1,0.2838492258979847
pathxdrp,cell_blind,2,0.32111615678749417
pathxdrp,cell_blind,3,0.340824266712524
pathxdrp,cell_blind,4,0.3279619449223533
pathxdrp,drug_blind,0,0.628765629472784
pathxdrp,drug_blind,1,0.6061360487937286
pathxdrp,drug_blind,2,0.6177974594576311
pathxdrp,drug_blind,3,0.6255439381060668
pathxdrp,drug_blind,4,0.6386182046569451
pathxdrp,scaffold_blind,0,0.6249898482985257
pathxdrp,scaffold_blind,1,0.6122550103686486
pathxdrp,scaffold_blind,2,0.5858208919557536
pathxdrp,scaffold_blind,3,0.6348622768659932
pathxdrp,scaffold_blind,4,0.6490152226136278
pathxdrp,tissue_blind,0,0.004161907618259345
pathxdrp,tissue_blind,1,0.038562314682276555
pathxdrp,tissue_blind,2,0.06940054346352371
pathxdrp,tissue_blind,3,0.15127551860160765
pathxdrp,tissue_blind,4,0.05963019378542106
drpreter,random,0,0.7098977534516956
drpreter,random,1,0.6980020612867899
drpreter,random,2,0.7105405012159167
drpreter,random,3,0.7063437919758152
drpreter,random,4,0.7034073432915996
drpreter,cell_blind,0,0.3555420688368873
drpreter,cell_blind,1,0.3483349593592804
drpreter,cell_blind,2,0.34427551593944045
drpreter,cell_blind,3,0.280211960820841
drpreter,cell_blind,4,0.3446374965877033
drpreter,drug_blind,0,0.5298739976485493
drpreter,drug_blind,1,0.43742966826697793
drpreter,drug_blind,2,0.43952837868552636
drpreter,drug_blind,3,0.6542709287492765
drpreter,drug_blind,4,0.41624089244908147
drpreter,scaffold_blind,0,0.5873038918261755
drpreter,scaffold_blind,1,0.4028368735377698
drpreter,scaffold_blind,2,0.5481356877205419
drpreter,scaffold_blind,3,0.6280904259562078
drpreter,scaffold_blind,4,0.600289445831526
drpreter,tissue_blind,0,0.12069182866231175
drpreter,tissue_blind,1,0.09132934492026126
drpreter,tissue_blind,2,0.009269964021715827
drpreter,tissue_blind,3,0.08786950850022432
drpreter,tissue_blind,4,0.04027125914845114
graphdrp,random,0,0.7492435081843152
graphdrp,random,1,0.7456684561767893
graphdrp,random,2,0.7540283140399617
graphdrp,random,3,0.7547339805041872
graphdrp,random,4,0.757450096716639
graphdrp,cell_blind,0,0.442511566678545
graphdrp,cell_blind,1,0.44310149285377076
graphdrp,cell_blind,2,0.43717846896092366
graphdrp,cell_blind,3,0.4250650511458233
graphdrp,cell_blind,4,0.45385188814063904
graphdrp,drug_blind,0,0.6520784113942634
graphdrp,drug_blind,1,0.6200160138695886
graphdrp,drug_blind,2,0.6430031816838396
graphdrp,drug_blind,3,0.643293364169253
graphdrp,drug_blind,4,0.6601939915771557
graphdrp,scaffold_blind,0,0.630453499061243
graphdrp,scaffold_blind,1,0.6126578533523399
graphdrp,scaffold_blind,2,0.5766642922175278
graphdrp,scaffold_blind,3,0.6460696713366881
graphdrp,scaffold_blind,4,0.6787167166130127
graphdrp,tissue_blind,0,0.20788737251270062
graphdrp,tissue_blind,1,0.2646109703965176
graphdrp,tissue_blind,2,0.10067566722673077
graphdrp,tissue_blind,3,0.30763187385083884
graphdrp,tissue_blind,4,0.2829100328559609
cdrscan,random,0,0.7360643647527642
cdrscan,random,1,0.7323032750340891
cdrscan,random,2,0.7398552118437296
cdrscan,random,3,0.7356120760371129
cdrscan,random,4,0.739247355696182
cdrscan,cell_blind,0,0.4610536246264035
cdrscan,cell_blind,1,0.47786711165247936
cdrscan,cell_blind,2,0.4630072880719051
cdrscan,cell_blind,3,0.47714176706276623
cdrscan,cell_blind,4,0.47443702571310287
cdrscan,drug_blind,0,0.6748735862151524
cdrscan,drug_blind,1,0.6631663346843046
cdrscan,drug_blind,2,0.6690072608276098
cdrscan,drug_blind,3,0.6763084138828958
cdrscan,drug_blind,4,0.6721092074276254
cdrscan,scaffold_blind,0,0.6581410015928553
cdrscan,scaffold_blind,1,0.6059067149816774
cdrscan,scaffold_blind,2,0.5913337514182048
cdrscan,scaffold_blind,3,0.6408264864870664
cdrscan,scaffold_blind,4,0.6862537806489643
cdrscan,tissue_blind,0,0.30234124288593134
cdrscan,tissue_blind,1,0.36861433958692297
cdrscan,tissue_blind,2,0.3172618441912945
cdrscan,tissue_blind,3,0.3310495730160261
cdrscan,tissue_blind,4,0.3192876546909104
