drug_id,n_cells,PCC
1018,5,0.38445089694314327
1507,9,0.3079464813007066
1786,12,0.2796230936092867
1175,42,0.2572267180923691
1005,78,0.22209664456812736
1004,119,0.20693896270755108
1510,135,0.20664631707904382
1632,116,0.16927579948806554
1909,49,0.15647401622107085
1022,135,0.1299200542396782
1736,154,0.1255952365226014
1933,50,0.10826335603499579
1036,111,0.1078314689454188
1594,135,0.10699292117394202
2043,112,0.10390232862616273
1817,133,0.1025088400101451
1916,83,0.09952944509086799
2106,331,0.09344146338631325
2169,131,0.09146922418370874
2175,27,0.09139332800119562
1016,195,0.08947661441600263
1024,111,0.08520730915182234
1873,124,0.08398985576826924
1017,135,0.08369901004948081
1581,50,0.07806345536375542
1191,339,0.07336334990898812
1180,320,0.07148188156157315
1080,315,0.07096277653839396
1813,62,0.06817918600116595
1624,168,0.0678627696724399
1011,296,0.06582248561044726
1190,109,0.0642983918673501
1012,315,0.054519146317499406
2171,286,0.043178676214167135
1819,323,0.041596549636151635
1083,283,0.03805331839294407
1862,133,0.0361559953855288
2048,127,0.03315224020857854
2173,118,0.02337540017706913
1003,104,0.01918394532359452
1021,169,0.018652354358628862
1626,54,0.014673128106895854
1259,378,0.009665548348912792
1179,336,0.008303973189326654
1806,96,0.004812641538005327
1372,266,-0.000760504529016675
1631,123,-0.001948902562984464
1031,345,-0.002376045250088423
1032,99,-0.0024518110891070485
1560,165,-0.0034406328032977867
1008,203,-0.005218700366835199
1079,254,-0.007434158207287944
1494,87,-0.00909795123969529
1593,117,-0.011763261691425433
1168,146,-0.013911521132854744
1922,113,-0.014167229112163093
1086,116,-0.01563186986583122
1053,116,-0.015845893589539112
1249,94,-0.01829340677626379
1088,296,-0.026680036824931263
1051,117,-0.029972886783503808
1441,362,-0.03158294617435037
1177,177,-0.033463969676355725
1010,173,-0.03880806932508821
1033,24,-0.03896521474861135
1250,106,-0.039948267479589954
1096,116,-0.04159251545367045
2040,351,-0.04393073766684423
1401,131,-0.045398317301394306
1073,83,-0.04556978374728765
1799,92,-0.05001901723879977
1810,120,-0.05538271365351776
1936,10,-0.05741405389086882
1026,328,-0.05908871143600505
1919,325,-0.061679693646206575
1809,347,-0.06705997828851729
1373,102,-0.06855478123194828
1054,166,-0.07317971067307591
1059,128,-0.07915519164936005
1512,30,-0.08491723254758737
1613,136,-0.08858306063016616
1808,132,-0.08966362453654028
1561,95,-0.09524750647975598
1014,106,-0.09812768862018549
1529,314,-0.10258426613908171
1019,54,-0.1043257228899892
1013,82,-0.10466387310166661
1133,81,-0.10842891354148694
1085,211,-0.11304100061728362
1020,95,-0.11781476880385677
1558,156,-0.13605635526270915
1511,82,-0.14963200492025824
1093,66,-0.15334645591691662
1815,45,-0.1695033613750981
1029,15,-0.21880794039419968
