split,seed,coverage,budget,prec_naive,prec_uncertainty,delta,rel_gain
random,0,0.3,100,0.99,1.0,0.010000000000000009,0.01010101010101011
random,0,0.3,500,0.976,0.846,-0.13,-0.13319672131147542
random,0,0.3,1000,0.958,0.443,-0.5149999999999999,-0.5375782881002087
random,0,0.5,100,0.99,1.0,0.010000000000000009,0.01010101010101011
random,0,0.5,500,0.976,0.95,-0.026000000000000023,-0.026639344262295105
random,0,0.5,1000,0.958,0.615,-0.34299999999999997,-0.3580375782881002
random,0,0.7,100,0.99,1.0,0.010000000000000009,0.01010101010101011
random,0,0.7,500,0.976,0.982,0.006000000000000005,0.006147540983606563
random,0,0.7,1000,0.958,0.75,-0.20799999999999996,-0.21711899791231729
random,1,0.3,100,1.0,1.0,0.0,0.0
random,1,0.3,500,0.988,0.878,-0.10999999999999999,-0.11133603238866395
random,1,0.3,1000,0.954,0.48,-0.474,-0.4968553459119497
random,1,0.5,100,1.0,1.0,0.0,0.0
random,1,0.5,500,0.988,0.968,-0.020000000000000018,-0.020242914979757103
random,1,0.5,1000,0.954,0.638,-0.31599999999999995,-0.33123689727463307
random,1,0.7,100,1.0,1.0,0.0,0.0
random,1,0.7,500,0.988,0.98,-0.008000000000000007,-0.008097165991902841
random,1,0.7,1000,0.954,0.743,-0.21099999999999997,-0.2211740041928721
random,2,0.3,100,0.99,1.0,0.010000000000000009,0.01010101010101011
random,2,0.3,500,0.982,0.93,-0.051999999999999935,-0.05295315682281052
random,2,0.3,1000,0.952,0.525,-0.42699999999999994,-0.44852941176470584
random,2,0.5,100,0.99,1.0,0.010000000000000009,0.01010101010101011
random,2,0.5,500,0.982,0.99,0.008000000000000007,0.008146639511201637
random,2,0.5,1000,0.952,0.696,-0.256,-0.26890756302521013
random,2,0.7,100,0.99,1.0,0.010000000000000009,0.01010101010101011
random,2,0.7,500,0.982,0.99,0.008000000000000007,0.008146639511201637
random,2,0.7,1000,0.952,0.802,-0.1499999999999999,-0.15756302521008395
random,3,0.3,100,1.0,1.0,0.0,0.0
random,3,0.3,500,0.992,0.924,-0.06799999999999995,-0.06854838709677415
random,3,0.3,1000,0.953,0.526,-0.42699999999999994,-0.4480587618048268
random,3,0.5,100,1.0,1.0,0.0,0.0
random,3,0.5,500,0.992,0.968,-0.02400000000000002,-0.024193548387096794
random,3,0.5,1000,0.953,0.691,-0.262,-0.2749213011542498
random,3,0.7,100,1.0,1.0,0.0,0.0
