model,method,K,n_drugs,recall,recall_lo,recall_hi,null_uniform,null_size_matched,excess_over_size_null,excess_lo,excess_hi,excess_significant
pathxdrp,attn,5,145,0.322183908045977,0.2518333333333333,0.39793103448275857,0.2683942528735632,0.2865324712643678,0.035651436781609196,-0.008783721264367822,0.08584529454022989,False
pathxdrp,attn,10,145,0.41011494252873565,0.3370028735632184,0.482655172413793,0.3998727011494253,0.41160574712643677,-0.001490804597701153,-0.050849245689655174,0.045274374999999985,False
pathxdrp,attn,20,145,0.5010344827586207,0.42527586206896545,0.5794310344827586,0.5388094827586207,0.5375442528735632,-0.036509770114942525,-0.0850619683908046,0.00904133620689653,False
pathxdrp,ig,5,142,0.7161971830985915,0.6425968309859155,0.7842752347417841,0.2736238262910798,0.2938257042253521,0.4223714788732395,0.36196273474178403,0.4832844263497653,True
pathxdrp,ig,10,142,0.7580985915492958,0.6862617370892018,0.8196156103286384,0.40700733568075115,0.4159163732394366,0.3421822183098592,0.2861718896713615,0.39845047681924883,True
pathxdrp,ig,20,142,0.7651408450704226,0.6956396713615023,0.8271156103286387,0.5476863262910798,0.5463550469483569,0.21878579812206572,0.1655376613849765,0.2724235181924882,True
drpreter,attn,5,145,0.1657471264367816,0.10999425287356321,0.2241436781609195,0.2683942528735632,0.22808563218390807,-0.06233850574712644,-0.10054135057471263,-0.023670445402298883,False
drpreter,attn,10,145,0.30770114942528737,0.2375775862068965,0.3800057471264367,0.3998727011494253,0.326792816091954,-0.019091666666666663,-0.06660568247126437,0.03038732758620687,False
drpreter,attn,20,145,0.4432183908045977,0.36631896551724136,0.5192040229885057,0.5388094827586207,0.4396025862068966,0.0036158045977011453,-0.046258297413793115,0.054775028735632156,False
drpreter,ig,5,142,0.6869718309859155,0.6127582159624413,0.7562206572769953,0.2736238262910798,0.2318119131455399,0.4551599178403756,0.3929618838028169,0.5168786898474179,True
drpreter,ig,10,142,0.7482394366197183,0.6773444835680752,0.8120921361502348,0.40700733568075115,0.3329351525821596,0.4153042840375587,0.35288898914319256,0.47648067781690134,True
drpreter,ig,20,142,0.7663145539906103,0.6958509389671361,0.8279342723004695,0.5476863262910798,0.4434325117370892,0.32288204225352113,0.2633041153169014,0.38109174735915485,True
graphdrp,ig,5,145,0.6837931034482758,0.614594827586207,0.7546149425287355,0.2683942528735632,0.2752597701149425,0.4085333333333333,0.34737810344827585,0.468513591954023,True
graphdrp,ig,10,145,0.7633333333333333,0.6975718390804597,0.8264396551724138,0.3998727011494253,0.3887221264367816,0.3746112068965517,0.3091251795977012,0.43707184626436785,True
graphdrp,ig,20,145,0.7763218390804597,0.7115948275862068,0.8382902298850574,0.5388094827586207,0.4771353448275863,0.2991864942528736,0.23164392959770114,0.3640726005747126,True
cdrscan,ig,5,145,0.6970114942528736,0.6275833333333334,0.7678218390804598,0.2683942528735632,0.2752597701149425,0.42175172413793105,0.35886530172413794,0.48204549568965516,True
cdrscan,ig,10,145,0.7677011494252873,0.7035459770114942,0.8294310344827586,0.3998727011494253,0.3887221264367816,0.3789790229885057,0.31397866379310346,0.4417651795977012,True
cdrscan,ig,20,145,0.7943678160919541,0.729882183908046,0.8546005747126436,0.5388094827586207,0.4771353448275863,0.3172324712643678,0.24934457614942526,0.38069157327586206,True
